Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Khoshabeh, Ramsin",ECE 140B - The Art of Product Eng II (A),SP18,32,21,95.2 %,100.0 %,9.45,B+ (3.62),B+ (3.70)
"Unpingco, Jose H.",ECE 143 - Programming for Data Analysis (A),SP18,62,18,72.2 %,77.8 %,7.72,B+ (3.59),B+ (3.35)
"Silberman, Jack",ECE 148 - Intro to Autonomous Vehicles (A),SP18,14,7,100.0 %,100.0 %,6.79,A- (3.83),N/A
"Javidi, Tara",ECE 153 - Probability&Random Process/Eng (A),SP18,27,7,85.7 %,71.4 %,9.36,B- (2.86),B+ (3.49)
"Javidi, Tara",ECE 154C - Communications SystemsIII (A),SP18,7,3,100.0 %,100.0 %,5.83,B+ (3.67),N/A
"Zhang, Xinyu",ECE 158B - Data Networks II (A),SP18,7,6,100.0 %,100.0 %,7.5,A (4.00),N/A
"Harris, Frederick Joel",ECE 161C - Apps of Digital Signal Process (A),SP18,44,14,71.4 %,76.9 %,8.07,B (3.15),N/A
"Levy, Cooper Sinclair",ECE 163 - Electronic Circuits & Systems (A),SP18,27,23,78.3 %,87.0 %,10.59,B- (2.87),B- (2.98)
"Sworder, David D.",ECE 171A - Linear Control System Theory (A),SP18,123,88,79.8 %,73.8 %,7.17,B (3.20),B (3.28)
"Kreutz-Delgado, Kenneth",ECE 175B - Prob Reasoning & Graphical Mod (A),SP18,29,7,100.0 %,100.0 %,6.5,A- (3.75),B+ (3.53)
"Gessner, Richard K.",ECE 180 - Topics in ECE (A),SP18,22,15,73.3 %,93.3 %,9.79,B+ (3.36),B+ (3.54)
"Abi Samra, Nicholas Camill",ECE 180 - Topics in ECE (B),SP18,46,15,80.0 %,86.7 %,5.17,B+ (3.67),A- (3.79)
"Ford, Joseph Earl",ECE 181 - Physical Optics&Fourier Optics (A),SP18,10,5,100.0 %,100.0 %,6.5,B+ (3.60),N/A
"Phan, Alex Minh Giang",ECE 188 - Topics in ECE with Lab (A),SP18,30,27,100.0 %,100.0 %,13.76,B+ (3.54),B+ (3.56)
"Das, Pankaj K",ECE 191 - Engineering Group Design Proj (A),SP18,35,6,33.3 %,66.7 %,14.5,A- (3.80),N/A
"Tu, Charles",ECE 191 - Engineering Group Design Proj (A),SP18,35,6,33.3 %,50.0 %,14.5,A- (3.80),N/A
"Kante, Boubacar",ECE 100 - Linear Electronic Systems (A),WI18,53,38,83.8 %,91.9 %,9.36,B (3.11),B (3.19)
"Baghdadchi, Saharnaz",ECE 101 - Linear Systems Fundamentals (A),WI18,87,72,94.4 %,93.0 %,6.94,B (3.24),C+ (2.64)
"Kuzum, Duygu",ECE 103 - Fundamntls/Devices & Materials (A),WI18,27,12,100.0 %,100.0 %,8.17,B+ (3.42),B (3.17)
"Kante, Boubacar",ECE 107 - Electromagnetism (A),WI18,53,33,80.6 %,90.3 %,7.56,B (3.03),B- (2.92)
"Zeger, Kenneth A.",ECE 109 - Engineering Probability&Stats (A),WI18,77,30,80.0 %,86.7 %,5.77,B- (2.93),B- (2.70)
"Lin, Bill",ECE 111 - Advanced Digital Design Proj (A),WI18,46,14,100.0 %,100.0 %,5.95,A (4.00),B (3.17)
"Lin, Bill",ECE 111 - Advanced Digital Design Proj (B),WI18,58,19,100.0 %,100.0 %,6.38,B+ (3.53),B (3.17)
"Das, Nikhil Ranjan",ECE 115 - Fast Prototyping (A),WI18,11,10,100.0 %,87.5 %,15.3,B+ (3.50),N/A
