Department,Course Number,Instructor,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
ECE,ECE 107 ,"Lomakin, Vitaliy",FA18,49,23,89.5,84.2,7.76,3.16,2.7
ECE,ECE 107 ,"Lomakin, Vitaliy",SP18,75,28,84.0,76.0,9.06,2.87,2.83
ECE,ECE 107 ,"Lomakin, Vitaliy",WI08,54,15,73.3,66.7,7.17,3.31,2.51
ECE,ECE 107 ,"Lomakin, Vitaliy",WI09,54,31,77.4,77.4,6.5,3.43,2.66
ECE,ECE 107 ,"Lomakin, Vitaliy",WI10,43,19,73.7,47.4,6.5,3.16,2.66
ECE,ECE 107 ,"Lomakin, Vitaliy",WI11,45,17,64.7,52.9,8.74,2.8,1.86
ECE,ECE 107 ,"Lomakin, Vitaliy",WI12,64,38,94.7,91.9,9.64,3.46,2.79
ECE,ECE 107 ,"Lomakin, Vitaliy",WI13,83,36,76.5,82.4,9.15,2.82,2.62
ECE,ECE 107 ,"Lomakin, Vitaliy",WI14,93,37,86.1,83.3,7.89,3.21,2.51
ECE,ECE 107 ,"Lomakin, Vitaliy",WI15,109,41,83.8,67.6,8.56,3.05,2.52
ECE,ECE 107 ,"Lomakin, Vitaliy",WI19,45,16,100.0,81.3,8.13,3.19,2.59
ECE,ECE 107 ,"Shevchenko, Valentin I",S117,21,5,75.0,75.0,11.7,3.0,2.84
ECE,ECE 107 ,"Shevchenko, Valentin I",S215,52,8,62.5,37.5,12.5,2.63,2.79
ECE,ECE 107 ,"Shevchenko, Valentin I",S216,83,41,72.5,72.5,10.87,3.05,2.94
ECE,ECE 107 ,"Shevchenko, Valentin I",S218,40,16,73.3,53.3,14.1,2.67,3.1
ECE,ECE 107 ,"Sievenpiper, Daniel F.",SP10,25,13,84.6,91.7,7.27,3.08,2.44
ECE,ECE 108 ,"Esener, Sadik C",SP10,73,40,87.5,80.0,8.25,2.98,2.65
ECE,ECE 108 ,"Esener, Sadik C",WI08,57,43,83.7,58.1,10.13,3.18,2.59
ECE,ECE 108 ,"Esener, Sadik C",WI09,64,52,78.8,75.0,7.62,3.18,2.99
ECE,ECE 108 ,"Esener, Sadik C",WI11,75,33,81.8,66.7,7.65,3.03,2.76
ECE,ECE 108 ,"Esener, Sadik C",WI12,95,52,84.6,71.2,9.83,2.96,2.67
ECE,ECE 108 ,"Esener, Sadik C",WI13,68,33,68.8,59.4,8.95,2.81,2.67
ECE,ECE 108 ,"Mookherjea, Shayan",SP11,74,26,84.0,72.0,9.7,2.91,2.89
ECE,ECE 108 ,"Mookherjea, Shayan",SP12,73,32,81.3,68.8,10.75,3.38,3.19
ECE,ECE 108 ,"Mookherjea, Shayan",SP13,147,71,68.6,42.9,10.01,3.06,2.58
ECE,ECE 108 ,"Mookherjea, Shayan",SP14,63,16,80.0,73.3,7.57,3.4,3.35
ECE,ECE 108 ,"Yun, Kenneth Yi",SP08,59,34,70.6,91.2,8.68,3.03,2.59
ECE,ECE 108 ,"Yun, Kenneth Yi",SP09,73,34,80.6,80.0,8.31,3.03,2.64
ECE,ECE 109 ,"Cruz, Rene L",SP09,126,49,70.2,83.0,4.38,3.6,3.18
ECE,ECE 109 ,"Kim, Minji",S217,49,41,87.5,97.5,11.8,2.8,2.62
ECE,ECE 109 ,"Lugannani, Robert",SP12,202,93,90.2,96.8,7.79,3.42,2.6
ECE,ECE 109 ,"Lugannani, Robert",SP13,205,71,84.5,85.9,5.38,3.39,2.35
ECE,ECE 109 ,"Lugannani, Robert",SP14,331,114,82.2,86.1,6.02,3.35,2.45
ECE,ECE 109 ,"Lugannani, Robert",SP15,212,57,75.0,80.8,6.66,3.19,2.59
ECE,ECE 109 ,"Lugannani, Robert",SP16,292,82,77.3,70.7,6.08,3.21,2.51
ECE,ECE 109 ,"Lugannani, Robert",SP17,296,86,86.4,85.2,5.15,3.44,2.65
